State,Sector,Sl No,Project Name,Agency Name,Project Code,Date of Approval (MM/YYYY),Date of Commissioning Original,Date of Commissioning Revised,Date of Commissioning Anticipated,Cost Original,Cost Revised,Cost Anticipated,Cumulative Expenditure in Rs. Crore,Physical Progress (%)
BIHAR,ROAD TRANSPORT AND HIGHWAYS,268,BALANCE WORK OF 4- L ANING OF PATNA-GAYA-DOBHI SECTION (KM.83.00 TO KM. 127.217) OF NH- 83 IN THE STA,NHAI,N24001305,10-2013,11/2020,Dec-24,12/2024,464.09,605.53,765.12,698.25,97.30
BIHAR,ROAD TRANSPORT AND HIGHWAYS,269,CONSTRUCTION OF 4 LANE ROB AND ITS APPROACHES AT THE LEVEL OF CROSSING (L C NO. 29- B) OF KM 29 (EKAN,MoRTH,N24002193,3-2023,7/2026,N.A.,7/2026,201.08,N.A.,201.08,23.73,22.50
BIHAR,ROAD TRANSPORT AND HIGHWAYS,270,CONSTRUCTION OF 6-LANE ELEVATED / EXTRA DOSE CABLE BRIDGE ON RIVER GANGA PARALLEL TO AND WESTERN SID,MoRTH,N24002194,1-2024,11/2027,N.A.,11/2027,"3,064.45",N.A.,"3,064.45",68.06,1.50
BIHAR,ROAD TRANSPORT AND HIGHWAYS,271,ESTIMATE FOR IMPROVEMENT TO TWO LANE WITH PAVED SHOULDER FROM RAMNAGAR TO ROSEDA FROM (KM 3.500 TO 4,MoRTH,N24002195,1-2022,4/2026,N.A.,4/2026,495.16,N.A.,495.16,129.17,9.00
BIHAR,ROAD TRANSPORT AND HIGHWAYS,272,CONSTRUCTION OF BHABHUA BYPASS FROM CH. 10+800(DESIGN CH. 10+800) TO CH. 19+860 (DESIGN CH. 18+150),MoRTH,N24002196,2-2022,3/2026,N.A.,3/2026,179.86,N.A.,179.86,24.56,0.03
BIHAR,ROAD TRANSPORT AND HIGHWAYS,273,IMPROVEMENT TO TWO LANE WITH PAVED SHOULDER FROM JUNCTION OF NH-22 NEAR HAJIPUR TO JUNCTION OF NH-12,MoRTH,N24002197,2-2024,2/2026,N.A.,2/2026,226.15,N.A.,226.15,9.77,11.00
BIHAR,ROAD TRANSPORT AND HIGHWAYS,274,IMPROVEMENT TO TWO LANE WITH PAVED SHOULDERS OF BH/WBBORDER-AMDABAD- MANIHARI SECTION FROM DESIGN KM,MoRTH,N24002198,1-2022,3/2026,N.A.,3/2026,353.27,N.A.,353.27,25.33,-
BIHAR,ROAD TRANSPORT AND HIGHWAYS,275,CONSTRUCTION OF 2 LANE BRIDGE ACROSS RIVER KOSI WITH APPROACH ROAD FROM BHEJA TO BAKAUR SECTION OF N,NHAI,N24001371,10-2019,8/2023,Dec-25,12/2025,"1,101.99",N.A.,"1,101.99",839.40,74.46
BIHAR,ROAD TRANSPORT AND HIGHWAYS,276,PERMANENT RECTIFICATION OF 4 NOS. OF BLACKSPOTS ON NH 27 OF KOTWA MEHSI MUZAFFARPUR SECTION FROM,NHAI,N24002220,12-2022,11/2026,N.A.,11/2026,410.75,N.A.,410.75,34.83,17.71
BIHAR,ROAD TRANSPORT AND HIGHWAYS,277,4L OF GREENFIELD ALIGNMENT FROM KM. 47.000 TO KM. 89.210 OF BALBHADARPUR TO BELA NAWDA SECTION OF NH,NHAI,N24002221,2-2022,3/2026,N.A.,3/2026,"2,185.75",N.A.,"2,185.75",513.47,10.34
BIHAR,URBAN DEVELOPMENT,278,PATNA METRO RAIL CORPORATION LIMITED,PATNA METRO RAI,N28000148,2-2019,6/2024,N.A.,9/2024,"13,365.77",N.A.,"13,925.50","3,157.64",43.28
BIHAR,WATER RESOURCES,279,SEWER NETWORK SPS AND STP BEGUSARAI,BUIDCO,N30000026,3-2018,7/2021,Dec-19,4/2025,230.06,N.A.,230.06,255.06,96.00
BIHAR,WATER RESOURCES,280,I AND D AND STP WORKS FOR BHAGALPUR,BUIDCO,N30000027,10-2017,9/2020,Nov-20,4/2025,254.13,413.29,413.29,120.95,89.00
BIHAR,WATER RESOURCES,281,SEWER NETWORKS SPS AND STP HAJIPUR,BUIDCO,N30000035,3-2018,8/2021,Mar-18,6/2025,305.19,N.A.,305.19,340.94,95.00
BIHAR,WATER RESOURCES,282,"SEWER NETWORKS, SPS AND STP, MUNGER",BUIDCO,N30000036,3-2018,10/2021,Mar-18,6/2024,294.02,350.79,522.85,425.62,100.00
BIHAR,WATER RESOURCES,283,SAIDPUR SEWER NETWORK PATNA,BUIDCO,N30000039,4-2015,1/2021,N.A.,6/2022,268.63,N.A.,493.85,490.63,100.00
BIHAR,WATER RESOURCES,284,SEWERAGE SYSTEM WITH SEWER NETWORK PATNA KARMALICHAK,BUIDCO,N30000044,3-2017,5/2021,Mar-17,2/2023,277.42,253.98,277.42,355.31,100.00
BIHAR,WATER RESOURCES,285,SEWERAGE SYSTEM AND STP FOR KANKARBAG ZONE PATNA,BUIDCO,N30000050,8-2017,6/2022,N .A.,12/2025,578.89,453.83,578.89,161.74,52.00
BIHAR,WATER RESOURCES,286,"SEWERAGE SYSTEM AND STP FOR DIGHA ZONE, PATNA",BUIDCO,N30000051,8-2017,6/2022,N.A.,12/2025,824.00,734.09,824.00,379.38,54.00
CHHATTISGARH,COAL,287,GEVRA EXPANSION OCP (SECL) (35-70) MTY,SECL,060100093,6-2010,3/2023,Mar-26,3/2026,"11,816.40",N.A.,"11,816.40","6,547.79",77.20
CHHATTISGARH,COAL,288,AMGAON OPENCAST PROJECT RCE,SECL,N06000135,7-2015,3/2020,Mar-26,3/2026,316.10,N.A.,316.10,188.33,65.00
CHHATTISGARH,COAL,289,PELMA OCP(15.00MTY),SECL,N06000045,1 0 - 2 0 2 2,3 / 2 0 2 3,N.A.,3/2033,"1,624.59",N.A.,"1,725.04",14.95,17.00
CHHATTISGARH,COAL,290,CHHAL OC SEAM -III (6.00 MTY),SECL,N06000104,1 2 - 2 0 1 3,3 / 2 0 2 2,Jun-25,6/2025,610.63,N.A.,610.63,574.62,85.00
CHHATTISGARH,COAL,291,AMERA OC RCE,SECL,N06000123,2 - 2 0 1 5,3 / 2 0 1 8,Mar-26,3/2026,335.97,N.A.,335.97,86.98,42.00
CHHATTISGARH,COAL,292,BAROUD OC EXPANSION (3-10 MTY),SECL,N06000197,8-2020,3/2029,N.A.,3/2029,"2,309.80",N.A.,"2,309.80",901.40,41.00
CHHATTISGARH,COAL,293,JAMPALI OCP RCE,SECL,N06000198,5 - 2 0 2 0,3 / 2 0 2 4,Mar-25,3/2025,278.64,N.A.,278.64,208.41,73.00
CHHATTISGARH,COAL,294,PORDA CHIMTAPANI OCP (10 MTY),SECL,N06000199,12-2020,3/2029,N.A.,3/2029,"2,310.12",N.A.,"2,310.12",46.54,10.00
CHHATTISGARH,COAL,295,DIPKA OC EXPANSION 40 MTY,SECL,N06000200,1 2 - 2 0 2 0,3 / 2 0 2 9,N.A.,3/2029,"5,241.40",N.A.,"5,241.40","2,754.95",37.30
CHHATTISGARH,COAL,296,JAGANNATHPUR OC RCE (3.0 MTY),SECL,N06000232,7-2016,3/2020,Mar-26,3/2026,459.49,N.A.,459.49,263.56,92.00
CHHATTISGARH,COAL,297,KATKONA RO UG PROJECT (1.74 MTY),SECL,N06000274,1-2023,3/2029,N.A.,3/2029,329.22,N.A.,329.22,60.34,2.00
CHHATTISGARH,COAL,298,MAHAMAYA OPENCAST PROJECT,SECL,N06000164,5 - 2 0 1 8,3 / 2 0 2 6,N.A.,3/2026,410.26,N.A.,410.26,179.95,38.00
CHHATTISGARH,COAL,299,JHIRIA WEST OPENCAST PROJECT,SECL,N06000166,1-2024,3/2029,N.A.,3/2029,366.94,N.A.,366.94,32.74,41.00
CHHATTISGARH,DEPARTMENT OF HIGHER EDUCATION,300,"C/O PERMANENT CAMPUS OF IIT BHILAI AT KUTHELABHATA, DURG CHHATTISGARH, STAGE I PHASE I.",CPWD EDUCATION,N28000141,3-2020,7/2022,Feb-24,3/2024,808.62,879.22,808.62,879.22,100.00
CHHATTISGARH,PETROLEUM,301,AUGMENTATION OF FACILITIES AT THE EXISTING RAIPUR DEPOT,HPCL,N16000413,3-2021,3/2024,M ar-25,3/2025,456.00,N.A.,456.00,382.48,100.00
CHHATTISGARH,POWER,302,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME XXVII,PGCIL,N18000354,3-2023,9/2024,N.A.,3/2025,271.69,N.A.,271.69,186.03,100.00
CHHATTISGARH,POWER,303,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME- XXVIII AND XXIX,PGCIL,N18000355,3-2023,3/2025,N.A.,3/2025,260.30,N.A.,260.30,187.79,100.00
CHHATTISGARH,POWER,304,"LARA SUPER THERMAL POWER PROJECT, STAGE-II (2X800 MW)",NTPC,N18000381,8-2023,6/2028,N.A.,6/2028,"15,530.00",N.A.,"15,530.00","1,634.35",6.50
CHHATTISGARH,POWER,305,WESTERN REGION EXPANSION SCHEME XXV,PGCIL,N18000350,2-2023,11/2023,N.A.,5/2025,385.84,N.A.,385.84,252.71,89.00
CHHATTISGARH,RAILWAYS,306,DALLIRAJHARA - ROWGHAT (95 KM) {PART OF DALLIRAJHARA- JAGDALPUR (235 KM)},RVNL,N22000602,3-2008,6/2025,N.A.,6/2025,631.78,N.A.,"1,627.56","1,349.09",-
CHHATTISGARH,RAILWAYS,307,CHIRIMIRI-NAGPUR HALT,SECR,N22000616,1 0 - 2 0 1 8,6 / 2 0 3 0,N.A.,6/2030,241.00,N.A.,241.00,0.00,-
CHHATTISGARH,RAILWAYS,308,JHARSUGUDA-BILASPUR 4TH LINE,SECR,N22000484,4-2015,3/2021,Dec-23,12/2025,"1,973.00","2,135.34","2,135.34","2,222.51",88.00
CHHATTISGARH,RAILWAYS,309,4TH LINE - BHILAI-BHILAI NAGAR (8.8 KM) (PB#72/NR/2022-23),SECR,N22000575,9-2022,9/2026,N.A.,9/2026,169.06,N.A.,177.34,1.17,-
CHHATTISGARH,RAILWAYS,310,4TH LINE - DADHAPARA-BELHA (9.2 KM) (PB#72/NR/2022-23),SECR,N22000576,9-2022,9/2026,N.A.,9/2026,169.06,N.A.,169.06,2.05,20.00
CHHATTISGARH,RAILWAYS,311,4TH LINE - RAJNANDGAON- DONGARHGARH (31.2 KM) (PB#72/NR/2022-23),SECR,N22000577,9-2022,9/2026,N.A.,9/2026,328.34,N.A.,328.34,12.79,15.00
CHHATTISGARH,RAILWAYS,312,Gauge conversion of Raipur(Kendri)- Dhamtari and Abhanpur-Rajim branch (67.20 km),SECR,N22000572,7-2011,10/2024,N.A.,6/2025,"1,171.30",N.A.,"1,171.30",560.45,80.00
CHHATTISGARH,RAILWAYS,313,KIRANDUL - JAGDALPUR DOUBLING,ECOR,N22000318,12-2012,3/2020,N.A.,3/2024,"1,160.00",N.A.,"1,553.11","1,503.11",94.00
CHHATTISGARH,RAILWAYS,314,NIPANIA-BHATAPRA (14.4 KM) 4TH LINE (PB#72/NR/2022-23),SECR,N22000573,9-2022,12/2026,N.A.,12/2026,170.49,N.A.,170.49,0.12,-
CHHATTISGARH,RAILWAYS,315,4TH LINE - BHATAPARA- HATHBAND (8.8 KM) (PB#72/NR/2022-23),SECR,N22000574,12-2022,12/2026,N.A.,12/2026,177.03,N.A.,177.03,0.21,-
CHHATTISGARH,RAILWAYS,316,KHARSIA DHARAMJAIGARH WITH SPUR LINE EAST CORRIDOR- PHASE I,IRCON,N22000489,4-2013,9/2018,N.A.,12/2025,"3,055.00",N.A.,"3,438.39","3,112.06",92.60
CHHATTISGARH,RAILWAYS,317,3RD AND 4TH LINE - SARAGBUNDIA AND MADWARANI,SECR,N22000579,9-2022,9/2026,N . A .,9/2026,167.64,N.A.,167.64,0.00,-
CHHATTISGARH,RAILWAYS,318,DOUBLING OF BORIDAND - AMBIKAPUR ( SURAJPUR),SECR,N22000580,6-2022,6/2030,N.A.,3/2027,"1,376.20","1,242.94","1,242.94",154.63,10.00
CHHATTISGARH,ROAD TRANSPORT AND HIGHWAYS,319,UP GRADATION OF NH 930 SHERPAR TO KOHKA FROM KM 67.880 TO KM 114.860 TO TWO LANE WITH PAVED SHOULDER,MoRTH,N24001917,3-2020,5/2024,N.A.,5/2025,278.97,N.A.,278.97,206.59,86.18
CHHATTISGARH,ROAD TRANSPORT AND HIGHWAYS,320,UP GRADATION OF NH 130C ABHANPUR TO PAUND FROM NK KM 0.000 TO KM. 40.380 TO TWO LANE WITH PAVED SHOU,MoRTH,N24001919,12-2020,9/2023,Feb-25,5/2025,193.16,N.A.,193.16,102.75,80.71
CHHATTISGARH,ROAD TRANSPORT AND HIGHWAYS,321,UPGRADATION OF NH 130A MUNGELI TO PONDI FROM NH KM. 51.600 TO KM. 77.870 KM. 80.970 TO 96.970 TO 2,MoRTH,N24001920,3-2021,9/2024,N.A.,5/2025,218.57,N.A.,218.57,136.26,81.42
CHHATTISGARH,ROAD TRANSPORT AND HIGHWAYS,322,DEVELOPMENT OF SIX LANE BASANWAHI-MARANGPURI OF NH 130 CD FROM KM.99+500 TO 124+661 UNDER RAIPUR VIS,NHAI,N24002017,3-2022,10/2025,N.A.,9/2026,"1,307.16",N.A.,"1,307.16",199.32,25.70
CHHATTISGARH,ROAD TRANSPORT AND HIGHWAYS,323,CONSTRUCTION OF 6 LANE DURG RAIPUR ARANG BYPASS PKG 1 SECTION OF NH 53 FROM CH 0.000 TO CH 44.50,NHAI,N24002045,6-2022,7/2025,N.A.,7/2025,"1,828.00",N.A.,"1,828.00",499.83,33.60
CHHATTISGARH,ROAD TRANSPORT AND HIGHWAYS,324,CONSTRUCTION OF 6 LANE DURG RAIPUR ARANG BYPASS PKG 2 SECTION OF NH 53 FROM CH 44+500 TO CH.92+230 I,NHAI,N24002046,6-2022,5/2025,N.A.,5/2025,"1,958.94","1,959.00","1,958.94",659.49,32.50
CHHATTISGARH,ROAD TRANSPORT AND HIGHWAYS,325,REHABILITATION AND UPGRADATION OF NH 43 KANKER TO BEDMA SECTION KM. 130 TO 180,MoRTH,N24001217,1-2016,8/2016,N.A.,3/2025,497.14,572.66,572.66,379.80,60.41
CHHATTISGARH,ROAD TRANSPORT AND HIGHWAYS,326,REHABILITATION AND UPGRADATION OF NH 78 FROM KM 373.505 TO 469.300 AMBIKAPUR TO PATHALGAON SECTION,MoRTH,N24001221,1-2016,10/2016,N.A.,3/2025,624.98,N.A.,731.50,620.52,99.00
CHHATTISGARH,ROAD TRANSPORT AND HIGHWAYS,327,REHABILITATION AND UPGRADATION OF NH 78 FROM KM 469.000 TO 531.000 PATTHALGAON TO KUNKURI,MoRTH,N24001222,3-2016,7/2016,N.A.,6/2025,452.94,N.A.,435.61,318.15,68.92
CHHATTISGARH,ROAD TRANSPORT AND HIGHWAYS,328,CONSTRUCTION OF 4 NOS GRADE SEPARATOR BETWEEN KM. 281.000 TO KM 307.600 KM. 286.400 KUMHARI KM. 299.,MoRTH,N24001227,3-2018,1/2019,N.A.,5/2025,349.03,N.A.,349.03,316.52,97.90
CHHATTISGARH,ROAD TRANSPORT AND HIGHWAYS,329,UPGRADATION AND WIDENING OF BILASPUR TO MUNGELI SECTION NH-130A,MoRTH,N24001228,11-2017,5/2019,N.A.,5/2025,188.80,N.A.,188.80,136.81,97.00
CHHATTISGARH,ROAD TRANSPORT AND HIGHWAYS,330,DEVELOPMENT OF SIX LANE SARGI-BASANWAHI OF NH 130 CD FROM KM.42+800 TO 99+500 UNDER RAIPUR VISAKHAPA,NHAI,N24001588,12-2021,1/2025,N.A.,9/2025,"1,470.73",N.A.,"1,470.73",646.79,73.53
CHHATTISGARH,ROAD TRANSPORT AND HIGHWAYS,331,DEVELOPMENT OF SIX LANE JHANKI SARGI OF NH 130 CD FROM KM.0+000 TO 42+800 UNDER RAIPUR VISAKHAPATTNA,NHAI,N24001593,11-2021,9/2024,N.A.,6/2025,"1,368.19",N.A.,"1,368.19",866.26,94.30
CHHATTISGARH,ROAD TRANSPORT AND HIGHWAYS,332,4 LANE OF BILASPUR TO URGA PROJECT (KM 0.00 TO KM 70.2) OF NH-130A,NHAI,N24001611,4-2020,3/2024,N.A.,9/2025,"1,855.59","2,523.86","2,523.86",592.92,88.94
CHHATTISGARH,STEEL,333,"REPLACEMENT OF CONVERTER VESSELS, TRUNNION RINGS, SUPPORT SYSTEM AND INSTALLATION OF SECONDARY EMISS",SAIL,N12000131,10-2023,6/2026,N.A.,6/2026,471.83,N.A.,471.83,58.27,13.20
CHHATTISGARH,STEEL,334,REBUILDING OF COKE OVEN BATTERY NO.7 AND 8 OF BHILAI STEEL PLANT,SAIL,N12000134,11-2023,10/2025,N.A.,10/2025,884.10,N.A.,884.10,330.44,63.70
CHHATTISGARH,STEEL,335,NMDC SLURRY PIPE LINE PROJECT - PHASE-1,NMDC,N12000124,11-2015,6/2023,Jul-24,12/2025,"2,907.00","5,427.06","5,427.06","2,855.31",73.80
CHHATTISGARH,STEEL,336,SCREENING PLANT-III AT KIRANDUL,NMDC,N12000127,3-2021,8/2024,N.A.,1/2026,"2,092.97","2,718.84","2,718.84","1,472.47",69.93
CHHATTISGARH,STEEL,337,CONSTRUCTION OF RESIDENTIAL TOWERS AT BIOM KIRANDUL COMPLEX,NMDC,N12000130,7-2021,11/2024,N.A.,12/2025,282.44,349.75,349.75,205.10,74.00
CHHATTISGARH,URBAN DEVELOPMENT,338,CONSTRUCTION729 QUARTERS (TYPE II-180 TYPE III-364 TYPE IV- 112 TYPE V-68 TYPE-VI-5 SHOPS COMMUNI,CPWD,N28000149,5-2019,9/2020,Oct-24,10/2024,299.97,299.97,299.97,272.05,89.00
DELHI,CIVIL AVIATION,339,"CONSTRUCTION OF COMBINED OPERATIONAL OFFICES FOR DGCA, BCAS, AAIB, AERA AND AAI AT SAFDARJUNG AIRPOR",AAI,N04000076,11-2016,4/2020,Apr-24,4/2024,303.80,374.98,351.21,344.49,100.00
DELHI,DPIIT,340,INDIA INTERNATIONAL CONVENTION AND EXPO CENTRE,IICC FOR DPIIT,N40000002,11-2017,12/2019,Apr-25,4/2025,"4,773.00",N.A.,"5,401.00","4,929.51",100.00
DELHI,FINANCE,341,"C/O RESIDENTIAL COMPLEX BUILDING FOR CENTRAL BOARD OF INDIRECT TAXES AND CUSTOMS AT SECTOR-9, DWARKA",NPCC,N07000001,7-2018,4/2022,N.A.,4/2022,228.50,N.A.,220.27,176.28,85.00
DELHI,HOME AFFAIRS,342,ESTABLISHMENT OF CENTRAL ARMED POLICE FORCE INSTITUTE OF MEDICAL SCIENCES(CAPFIMS) AT NEW DELHI,CPWD FOR MHA,N28000071,10-2013,10/2019,N.A.,9/2024,"1,219.21","2,091.53","2,091.53","1,947.12",100.00
DELHI,HOME AFFAIRS,343,CONSTRUCTION OF HEADQUARTER BUILDING OF CRPF AT LODHI ROAD NEW DELHI,CPWD FOR MHA,N45000002,6-2019,7/2022,N.A.,9/2025,277.35,N.A.,277.35,107.00,62.00
DELHI,RAILWAYS,344,ANAND VIHAR-TILAK BRIDGE 3RD AND 4TH LINE,NR,N22000281,4-2012,,N.A.,6/2026,295.68,N.A.,699.00,169.99,45.00
DELHI,ROAD TRANSPORT AND HIGHWAYS,345,SIX LANE ACCESS CONTROLLED OF DELHI SAHARANPUR HIGHWAY FROM AKSHARDHAM NH 9 JUNCTION TO DELHI UP BOR,NHAI,N24001771,6-2020,12/2024,N.A.,12/2024,"1,479.22",N.A.,"1,479.22","1,491.26",99.00
DELHI,ROAD TRANSPORT AND HIGHWAYS,346,6L ACCESS CONTROLLED HIGHWAY FROM DND MAHARANI BAGH JN. WITH JAITPUR PUSHTA ROAD OF NH 148NA FROM,NHAI,N24001773,5-2020,7/2024,N.A.,9/2025,"1,467.44",N.A.,"1,942.89","1,113.43",86.30
DELHI,ROAD TRANSPORT AND HIGHWAYS,347,DEVELOPMENT OF 6L UER-II (PACKAGE-I) (NH-1 NEAR BAKOLI TILL KARALA KANJHAWALA ROAD) FROM KM. (-)0.70,NHAI,N24001777,7-2020,10/2023,N.A.,6/2025,"2,171.80",N.A.,"2,171.80",958.13,99.99
DELHI,ROAD TRANSPORT AND HIGHWAYS,348,DWARKA EXPRESSWAY FROM KM -0.600 TO KM 5.300 - PKG-I (SHIVMURTI CHOWK-RUB NEAR DWARKA SECTOR 21),NHAI,N24001779,3-2018,9/2022,N.A.,6/2025,"2,507.00",N.A.,"3,030.73","1,155.70",94.00
DELHI,ROAD TRANSPORT AND HIGHWAYS,349,8L OF DWARKA EXPRESSWAY PKG-II (RUB NEAR DWARKA SECTOR 21-DL/HR BORDER) FROM 5.300 KM.TO 9.500 KM. O,NHAI,N24001781,1-2018,10/2021,N.A.,3/2025,"2,067.67",N.A.,"2,160.00","1,496.49",99.20
DELHI,ROAD TRANSPORT AND HIGHWAYS,350,DEVELOPMENT OF 6L UER II [PACKAGE - II] (KARALA KANJHAWALA ROAD TILL NANGLOI - NAJAFGARH ROAD) FROM,NHAI,N24001825,7-2020,10/2023,N.A.,6/2025,"1,894.96",N.A.,"1,894.96",741.88,92.61
DELHI,TELECOMMUNICATIONS,351,SETTING UP PHYSICAL INFRASTRUCTURE FOR THE NATIONAL INSTITUTE OF COMMUNICATION FINANCE(NICF) AT GHIT,CPWD FOR TELECO,N28000115,10-2014,3/2018,N.A.,3/2025,248.20,N.A.,248.20,236.27,98.00
DELHI,URBAN DEVELOPMENT,352,REDEVELOPMENT OF GPRA COLONY AT NAUROJI NAGAR,NBCC,N28000105,7-2016,,N.A.,10/2024,"2,694.00",N.A.,"2,694.00","2,402.68",98.00
DELHI,URBAN DEVELOPMENT,353,REDEVELOPMENT OF GENERAL POOL RESIDENTIAL COLONY AT SRINIWASPURI NEW DELHI PHASE-I,CPWD,N28000128,10-2016,7/2021,N.A.,6/2024,"1,180.00",N.A.,"1,100.80",36.69,2.00
DELHI,URBAN DEVELOPMENT,354,REDEVELOPMENT OF GPRA AT KASTURBA NAGAR PHASE I,CPWD,N28000129,10-2016,3/2022,N.A.,6/2024,"1,128.00",N.A.,"1,128.00",709.96,60.00
DELHI,URBAN DEVELOPMENT,355,DELHI METRO PHASE IV THREE PRIORITY CORRIDORS,DMRC,N28000135,7-2019,3/2025,N.A.,3/2026,"24,948.65",N.A.,"24,948.65","15,494.03",63.28
DELHI,URBAN DEVELOPMENT,356,DELHI MRTS PHASE-III,DMRC,N28000056,9 - 2 0 1 1,3 / 2 0 1 6,Aug-21,8/2021,"38,585.00","43,095.35","40,180.91","40,600.65",100.00
DELHI,URBAN DEVELOPMENT,357,"CONSTRUCTION OF 184 MULTI STORIED FLATS FOR HON'BLE MPS AT BKS MARG, NEW DELHI",CPWD,N28000153,1-2022,11/2024,May-25,5/2025,646.52,N.A.,646.52,473.63,89.00
DELHI,URBAN DEVELOPMENT,358,REDEVELOPMENT OF GPRA AT NETAJI NAGAR NEW DELHI PACKAGE 2,NBCC,N28000156,10-2016,3/2024,Mar-25,3/2025,"1,536.72",N.A.,"1,536.72",468.18,-
DELHI,WATER RESOURCES,359,CONSTRUCTION OF 564 MLD 124 MGD WASTE WATER TREATMENT PLANT WITH EFFLUENT STANDARDS OF BOD ? 10MG/L,DJB,N30000014,3-2017,12/2022,N.A.,12/2024,665.78,N.A.,665.78,782.51,96.00
GOA,CIVIL AVIATION,360,EXTENSION OF EXISTING INTEGRATED TERMINAL BUILDING AND ALLIED WORKS AT GOA AIRPORT.,AAI,N04000095,11-2017,9/2021,Jun-25,6/2025,255.69,N.A.,255.69,113.78,82.00
GOA,DEPARTMENT OF HIGHER EDUCATION,361,"CONSTRUCTION OF PERMANENT CAMPUS FOR NATIONAL INSTITUTE OF TECHNOLOGY GOA AT CUNCOLIM, GOA.",CPWD EDUCATION,N42000002,5-2019,8/2021,N.A.,12/2024,303.90,N.A.,390.40,364.00,99.30
GOA,ROAD TRANSPORT AND HIGHWAYS,362,CONSTRUCTION OF SIX LANE ELEVATED CORRIDOR FROM KM. 508.000 TO KM. 513.150 INCLUDING APPROACHES ON N,MoRTH,N24002181,4-2023,4/2026,N.A.,4/2026,641.46,N.A.,641.46,0.00,-
GUJARAT,CIVIL AVIATION,363,"DEVELOPMENT OF NEW GREENFIELD AIRPORT AT DHOLERA, AHMEDABAD (GUJARAT). PHASE-1.",AAI,N04000099,6-2022,12/2025,N.A.,12/2025,"1,305.00","1,143.95","1,143.95",505.54,50.00
GUJARAT,CIVIL AVIATION,364,"C/O NEW GREENFIELD AIRPORT AT HISSAR, RAJKOT, GUJARAT",AAI,N04000088,1-2018,8/2022,Dec-24,12/2024,"1,405.00",N.A.,"1,405.00","1,304.38",100.00
GUJARAT,CIVIL AVIATION,365,"EXTENSION OF TERMINAL BUILDING, PTT, APRON AND CAR PARK AT SURAT AIRPORT.",AAI,N04000093,8-2018,2/2021,Mar-25,3/2025,353.25,N.A.,353.25,347.63,100.00
GUJARAT,PETROLEUM,366,"REVAMPING OF SV STATIONS, GAS TERMINAL AND KRIBHCO TERMINAL",ONGC,N16000514,11-2022,8/2026,N.A.,8/2026,837.34,N.A.,837.34,147.68,39.50
GUJARAT,PETROLEUM,367,INSTALLATION OF NEW BITUMEN UNIT ALONG WITH ALLIED FACILITIES AT GUJARAT,IOCL,N16000454,1-2022,9/2024,N.A.,5/2025,328.00,N.A.,328.00,57.21,40.00
GUJARAT,PETROLEUM,368,REDEVELOPMENT OF SANTHAL FIELD,ONGC,N16000279,2-2017,3/2026,N.A.,3/2026,"1,162.56",N.A.,"1,162.56","1,155.42",93.60
GUJARAT,PETROLEUM,369,PETROCHEMICAL AND LUBE INTEGRATION PROJECT AT GUJARAT REFINERY,IOCL,N16000409,9-2020,8/2024,Dec-25,12/2025,"18,936.00",N.A.,"18,936.00","10,530.28",80.30
GUJARAT,PETROLEUM,370,AUGUMENTATION OF SALAYA MATHURA CRUDE OIL PIPELINE SYSTEM,IOCL,N16000411,10-2020,8/2023,Jun-25,6/2025,"1,614.00",N.A.,"1,614.00","1,081.03",94.48
GUJARAT,PETROLEUM,371,REDEVELOPMENT OF SOBHASAN COMPLEX,ONGC,N16000431,8-2021,2/2026,N.A.,2/2026,885.63,"1,286.67","1,286.67",546.77,66.00
GUJARAT,PETROLEUM,372,COMMERCIAL POLYMER FLOODING PROJECT IN BECHRAJI FIELD,ONGC,N16000444,1-2022,11/2024,N.A.,11/2025,621.40,N.A.,621.40,130.20,21.40
GUJARAT,PETROLEUM,373,"RESTORATION OF GAS TERMINAL, PHASE-I (PART-A), HAZIRA PLANT",ONGC,N16000477,5-2022,2/2025,N.A.,9/2025,249.43,N.A.,249.43,208.68,91.10
GUJARAT,PETROLEUM,374,KALOL REDEVELOPMENT PROJECT,ONGC,N16000481,8-2022,3/2027,N.A.,3/2027,"1,487.41",N.A.,"1,487.41",918.00,59.00
GUJARAT,PETROLEUM,375,OLD PIPE LINE REPLACEMENT (OPRP) GROUP-A,ONGC,N16000483,7-2021,7/2025,N.A.,7/2025,173.03,N.A.,169.84,137.99,83.30
GUJARAT,PETROLEUM,376,ACRYLICS OR OXO-ALCOHOL PROJECT AT GUJARAT REFINERY,IOCL,N16000382,11-2019,5/2023,Mar-24,4/2025,"5,251.00","5,894.00","5,894.00","4,567.72",99.45
GUJARAT,PETROLEUM,377,REDEVELOPMENT OF LINCH FIELD,ONGC,N16000428,4-2021,3/2025,N.A.,7/2025,631.03,860.04,860.04,384.82,65.60
GUJARAT,POWER,378,ESTABLISHMENT OF KHAVDA POOLING STATION 3 (KPS3) IN KHAVDA RE PARK,PGCIL,N18000357,3-2023,12/2024,N.A.,5/2025,922.30,N.A.,922.30,587.67,88.00
